episode,mean,std
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.01,0.1
8,0.01,0.1
9,0.01,0.09999999999999999
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.01,0.09999999999999999
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.03,0.1714466079977653
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.01,0.09999999999999998
40,0.0,0.0
41,0.0,0.0
42,0.01,0.1
43,0.0,0.0
44,0.0,0.0
45,0.02,0.1407052941362897
46,0.01,0.09999999999999999
47,0.02,0.1407052941362897
48,0.03,0.1714466079977653
49,0.01,0.1
50,0.01,0.1
51,0.02,0.1407052941362897
52,0.02,0.1407052941362897
53,0.02,0.1407052941362897
54,0.01,0.1
55,0.03,0.1714466079977653
56,0.01,0.09999999999999999
57,0.02,0.14070529413628968
58,0.02,0.14070529413628968
59,0.03,0.1714466079977653
60,0.0,0.0
61,0.02,0.1407052941362897
62,0.02,0.1407052941362897
63,0.03,0.1714466079977653
64,0.02,0.1407052941362897
65,0.03,0.1714466079977653
66,0.03,0.1714466079977653
67,0.05,0.21904291355759034
68,0.04,0.19694638556693236
69,0.03,0.1714466079977653
70,0.04,0.19694638556693236
71,0.01,0.1
72,0.02,0.14070529413628968
73,0.03,0.1714466079977653
74,0.03,0.1714466079977653
75,0.03,0.1714466079977653
76,0.04,0.1969463855669324
77,0.05,0.21904291355759034
78,0.04,0.19694638556693236
79,0.02,0.14070529413628968
80,0.05,0.21904291355759034
81,0.05,0.2190429135575903
82,0.05,0.21904291355759034
83,0.03,0.17144660799776532
84,0.06,0.23868325657594203
85,0.03,0.1714466079977653
