episode,mean,std
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.01,0.09999999999999999
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.01,0.09999999999999998
11,0.0,0.0
12,0.0,0.0
13,0.01,0.09999999999999999
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.01,0.09999999999999999
29,0.0,0.0
30,0.0,0.0
31,0.01,0.09999999999999999
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.01,0.1
38,0.0,0.0
39,0.01,0.1
40,0.02,0.14070529413628974
41,0.0,0.0
42,0.01,0.09999999999999998
43,0.01,0.1
44,0.0,0.0
45,0.01,0.09999999999999999
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.01,0.09999999999999998
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.01,0.09999999999999999
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.01,0.09999999999999999
61,0.0,0.0
62,0.01,0.09999999999999999
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.01,0.1
69,0.0,0.0
70,0.01,0.09999999999999999
71,0.0,0.0
72,0.0,0.0
73,0.02,0.1407052941362897
74,0.01,0.09999999999999998
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.01,0.09999999999999998
81,0.02,0.1407052941362897
82,0.0,0.0
83,0.01,0.09999999999999998
84,0.0,0.0
85,0.0,0.0
86,0.02,0.1407052941362897
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.01,0.09999999999999999
92,0.01,0.1
93,0.0,0.0
94,0.0,0.0
95,0.02,0.1407052941362897
