episode,mean,std
1,0.0,0.0
2,0.0,0.0
3,0.03,0.17144660799776532
4,0.02,0.14070529413628968
5,0.0,0.0
6,0.02,0.1407052941362897
7,0.03,0.17144660799776532
8,0.04,0.1969463855669324
9,0.05,0.21904291355759034
10,0.01,0.1
11,0.0,0.0
12,0.02,0.1407052941362897
13,0.01,0.1
14,0.01,0.09999999999999999
15,0.01,0.09999999999999998
16,0.01,0.1
17,0.01,0.09999999999999999
18,0.02,0.1407052941362897
19,0.03,0.1714466079977653
20,0.01,0.1
21,0.0,0.0
22,0.01,0.09999999999999999
23,0.01,0.09999999999999999
24,0.03,0.1714466079977653
25,0.0,0.0
26,0.05,0.2190429135575903
27,0.01,0.09999999999999999
28,0.03,0.17144660799776532
29,0.02,0.14070529413628968
30,0.01,0.1
31,0.0,0.0
32,0.02,0.1407052941362897
33,0.01,0.09999999999999999
34,0.05,0.21904291355759034
35,0.02,0.1407052941362897
36,0.04,0.19694638556693236
37,0.01,0.09999999999999998
38,0.0,0.0
39,0.0,0.0
40,0.02,0.1407052941362897
41,0.0,0.0
42,0.01,0.09999999999999999
43,0.03,0.1714466079977653
44,0.05,0.2190429135575903
45,0.02,0.14070529413628968
46,0.06,0.23868325657594203
47,0.04,0.1969463855669324
48,0.04,0.1969463855669324
49,0.03,0.17144660799776532
50,0.03,0.17144660799776532
51,0.05,0.2190429135575903
52,0.07,0.2564323999762428
53,0.01,0.09999999999999998
54,0.06,0.23868325657594203
55,0.04,0.1969463855669324
56,0.05,0.21904291355759034
57,0.05,0.21904291355759034
58,0.05,0.21904291355759029
59,0.02,0.1407052941362897
60,0.06,0.23868325657594203
61,0.02,0.1407052941362897
62,0.04,0.19694638556693236
63,0.05,0.21904291355759034
64,0.03,0.1714466079977653
65,0.01,0.09999999999999999
66,0.03,0.17144660799776532
67,0.04,0.1969463855669324
68,0.03,0.1714466079977653
69,0.0,0.0
70,0.03,0.1714466079977653
71,0.05,0.21904291355759034
72,0.06,0.23868325657594203
73,0.02,0.14070529413628974
74,0.03,0.1714466079977653
75,0.09,0.2876234912646613
76,0.04,0.19694638556693236
