episode,mean,std
0,0.0,0.0
1,0.04,0.19999999999999998
2,0.04,0.2
3,0.0,0.0
4,0.0,0.0
5,0.04,0.19999999999999998
6,0.0,0.0
7,0.04,0.2
8,0.08,0.2768874620972691
9,0.04,0.2
10,0.08,0.2768874620972691
11,0.04,0.19999999999999996
12,0.08,0.27688746209726917
13,0.04,0.2
14,0.16,0.3741657386773941
15,0.0,0.0
16,0.0,0.0
17,0.04,0.2
18,0.04,0.19999999999999998
19,0.12,0.33166247903553997
20,0.12,0.33166247903553997
21,0.04,0.2
22,0.04,0.19999999999999998
23,0.04,0.2
24,0.0,0.0
25,0.12,0.33166247903553997
26,0.08,0.27688746209726917
27,0.24,0.43588989435406733
28,0.08,0.2768874620972691
29,0.16,0.37416573867739417
30,0.04,0.2
31,0.12,0.33166247903553997
32,0.2,0.40824829046386296
33,0.08,0.27688746209726917
34,0.12,0.33166247903553997
35,0.16,0.37416573867739417
36,0.16,0.3741657386773941
37,0.2,0.408248290463863
38,0.28,0.458257569495584
39,0.32,0.4760952285695233
40,0.2,0.408248290463863
41,0.24,0.4358898943540674
42,0.32,0.4760952285695233
43,0.32,0.4760952285695233
44,0.24,0.4358898943540673
45,0.32,0.4760952285695233
46,0.32,0.47609522856952335
47,0.36,0.4898979485566356
48,0.32,0.47609522856952335
49,0.36,0.4898979485566356
50,0.28,0.45825756949558394
51,0.44,0.5066228051190221
52,0.44,0.5066228051190221
53,0.4,0.5
54,0.32,0.47609522856952324
55,0.44,0.5066228051190221
56,0.36,0.4898979485566356
57,0.24,0.4358898943540673
58,0.36,0.4898979485566356
59,0.4,0.5
60,0.48,0.5099019513592785
61,0.32,0.4760952285695233
62,0.56,0.506622805119022
63,0.2,0.408248290463863
64,0.4,0.49999999999999994
65,0.4,0.49999999999999994
66,0.28,0.45825756949558405
67,0.4,0.5
68,0.44,0.5066228051190221
69,0.36,0.48989794855663565
70,0.4,0.49999999999999994
71,0.4,0.49999999999999994
72,0.4,0.5
73,0.48,0.5099019513592784
74,0.4,0.5
75,0.4,0.5
76,0.36,0.4898979485566356
77,0.36,0.48989794855663565
78,0.12,0.33166247903553997
79,0.36,0.4898979485566356
80,0.12,0.33166247903553997
81,0.36,0.4898979485566356
82,0.32,0.4760952285695233
83,0.36,0.4898979485566356
84,0.36,0.4898979485566356
85,0.52,0.5099019513592784
86,0.36,0.4898979485566356
87,0.36,0.4898979485566356
88,0.36,0.48989794855663554
89,0.24,0.4358898943540674
90,0.32,0.4760952285695233
91,0.44,0.5066228051190221
92,0.48,0.5099019513592785
93,0.44,0.5066228051190221
94,0.48,0.5099019513592784
95,0.36,0.4898979485566356
96,0.44,0.5066228051190221
97,0.36,0.4898979485566356
98,0.32,0.47609522856952324
99,0.36,0.4898979485566356
100,0.36,0.4898979485566356
101,0.48,0.5099019513592784
102,0.44,0.5066228051190221
103,0.44,0.5066228051190221
104,0.48,0.5099019513592785
105,0.4,0.5
106,0.48,0.5099019513592784
107,0.4,0.49999999999999994
108,0.6,0.5
109,0.56,0.5066228051190221
110,0.52,0.5099019513592785
111,0.48,0.5099019513592785
112,0.56,0.5066228051190221
113,0.44,0.5066228051190221
114,0.56,0.5066228051190221
115,0.52,0.5099019513592784
116,0.52,0.5099019513592785
117,0.68,0.4760952285695233
118,0.64,0.4898979485566356
119,0.56,0.5066228051190221
120,0.64,0.4898979485566356
121,0.72,0.458257569495584
122,0.64,0.4898979485566356
123,0.68,0.47609522856952324
124,0.8,0.408248290463863
125,0.64,0.4898979485566356
126,0.64,0.4898979485566356
127,0.72,0.45825756949558394
128,0.68,0.4760952285695233
129,0.64,0.4898979485566356
130,0.68,0.47609522856952324
131,0.76,0.4358898943540673
132,0.64,0.48989794855663565
133,0.6,0.5
134,0.56,0.5066228051190221
135,0.52,0.5099019513592785
136,0.6,0.5
137,0.68,0.47609522856952335
138,0.48,0.5099019513592785
139,0.56,0.5066228051190221
140,0.6,0.5
141,0.64,0.4898979485566356
142,0.48,0.5099019513592784
143,0.56,0.5066228051190221
144,0.52,0.5099019513592785
145,0.6,0.49999999999999994
146,0.64,0.4898979485566356
147,0.72,0.45825756949558394
148,0.68,0.4760952285695233
149,0.72,0.45825756949558394
150,0.64,0.48989794855663565
151,0.64,0.4898979485566356
152,0.64,0.4898979485566356
153,0.6,0.5
154,0.68,0.47609522856952335
155,0.76,0.43588989435406733
156,0.8,0.408248290463863
157,0.76,0.4358898943540673
158,0.68,0.47609522856952324
159,0.8,0.4082482904638631
160,0.8,0.4082482904638631
161,0.84,0.37416573867739417
162,0.76,0.4358898943540673
163,0.8,0.40824829046386296
164,0.72,0.458257569495584
165,0.72,0.458257569495584
166,0.76,0.43588989435406733
167,0.72,0.458257569495584
168,0.84,0.37416573867739417
169,0.68,0.4760952285695233
170,0.64,0.4898979485566356
171,0.8,0.40824829046386296
172,0.76,0.43588989435406733
173,0.68,0.47609522856952324
174,0.72,0.458257569495584
175,0.76,0.4358898943540673
176,0.76,0.43588989435406733
177,0.72,0.458257569495584
178,0.68,0.47609522856952324
179,0.72,0.45825756949558394
180,0.72,0.458257569495584
181,0.68,0.4760952285695233
182,0.68,0.4760952285695233
183,0.8,0.40824829046386296
184,0.68,0.47609522856952335
185,0.8,0.40824829046386296
186,0.72,0.45825756949558394
187,0.76,0.4358898943540673
188,0.84,0.37416573867739417
189,0.72,0.458257569495584
190,0.6,0.5
191,0.64,0.4898979485566356
192,0.68,0.4760952285695233
193,0.72,0.458257569495584
194,0.72,0.458257569495584
195,0.72,0.458257569495584
196,0.8,0.408248290463863
197,0.76,0.4358898943540673
198,0.76,0.4358898943540673
199,0.92,0.27688746209726917
200,0.68,0.4760952285695233
201,0.76,0.4358898943540673
202,0.64,0.4898979485566356
203,0.76,0.4358898943540674
204,0.76,0.43588989435406733
205,0.6,0.5
206,0.72,0.45825756949558394
207,0.72,0.458257569495584
208,0.56,0.5066228051190221
209,0.72,0.45825756949558394
210,0.68,0.4760952285695233
211,0.6,0.5
212,0.68,0.47609522856952324
213,0.64,0.4898979485566356
214,0.6,0.5
215,0.56,0.5066228051190221
216,0.68,0.4760952285695233
217,0.64,0.4898979485566356
218,0.68,0.47609522856952324
219,0.84,0.3741657386773941
220,0.68,0.4760952285695233
221,0.64,0.48989794855663554
222,0.56,0.5066228051190222
223,0.52,0.5099019513592784
224,0.6,0.5
225,0.6,0.5
226,0.72,0.45825756949558405
227,0.76,0.43588989435406733
228,0.6,0.5
229,0.64,0.4898979485566357
230,0.64,0.4898979485566356
231,0.68,0.47609522856952335
232,0.68,0.47609522856952335
233,0.72,0.458257569495584
234,0.6,0.5
235,0.6,0.5
236,0.68,0.4760952285695233
237,0.64,0.4898979485566356
238,0.68,0.4760952285695233
239,0.6,0.49999999999999994
240,0.64,0.48989794855663565
241,0.68,0.4760952285695233
242,0.68,0.4760952285695233
243,0.64,0.48989794855663554
244,0.72,0.458257569495584
245,0.64,0.4898979485566356
246,0.8,0.40824829046386313
247,0.44,0.5066228051190221
248,0.64,0.4898979485566356
249,0.68,0.47609522856952324
250,0.6,0.5
251,0.76,0.43588989435406733
252,0.72,0.458257569495584
253,0.76,0.4358898943540673
254,0.84,0.37416573867739417
255,0.84,0.37416573867739417
256,0.8,0.408248290463863
257,0.84,0.3741657386773941
258,0.76,0.43588989435406733
259,0.64,0.4898979485566356
260,0.76,0.4358898943540674
261,0.68,0.4760952285695233
262,0.76,0.4358898943540673
263,0.76,0.4358898943540673
264,0.68,0.4760952285695233
265,0.8,0.4082482904638631
266,0.76,0.43588989435406733
267,0.64,0.48989794855663565
268,0.76,0.4358898943540673
269,0.72,0.45825756949558405
270,0.56,0.5066228051190221
271,0.72,0.458257569495584
