episode,mean,std
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.04,0.19999999999999998
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.04,0.19999999999999998
14,0.04,0.19999999999999998
15,0.0,0.0
16,0.04,0.19999999999999998
17,0.0,0.0
18,0.04,0.2
19,0.0,0.0
20,0.04,0.19999999999999998
21,0.08,0.2768874620972691
22,0.0,0.0
23,0.0,0.0
24,0.04,0.19999999999999998
25,0.0,0.0
26,0.08,0.2768874620972691
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.04,0.19999999999999998
33,0.04,0.2
34,0.08,0.27688746209726917
35,0.04,0.2
36,0.08,0.27688746209726917
37,0.08,0.2768874620972691
38,0.08,0.2768874620972691
39,0.0,0.0
40,0.12,0.33166247903553997
41,0.04,0.19999999999999998
42,0.04,0.2
43,0.04,0.2
44,0.08,0.27688746209726917
45,0.2,0.408248290463863
46,0.16,0.3741657386773941
47,0.08,0.2768874620972691
48,0.2,0.408248290463863
49,0.16,0.37416573867739417
50,0.12,0.33166247903553997
51,0.2,0.40824829046386296
52,0.24,0.4358898943540673
53,0.2,0.40824829046386296
54,0.24,0.43588989435406733
55,0.32,0.47609522856952324
56,0.16,0.37416573867739417
57,0.12,0.33166247903553997
58,0.2,0.408248290463863
59,0.2,0.40824829046386296
60,0.28,0.458257569495584
61,0.24,0.4358898943540673
62,0.36,0.4898979485566356
63,0.2,0.408248290463863
64,0.24,0.4358898943540673
65,0.24,0.43588989435406733
66,0.32,0.47609522856952324
67,0.28,0.45825756949558405
68,0.24,0.43588989435406733
69,0.44,0.5066228051190221
70,0.16,0.37416573867739417
71,0.4,0.5
72,0.2,0.408248290463863
73,0.4,0.5
74,0.32,0.47609522856952324
75,0.32,0.47609522856952335
76,0.32,0.4760952285695233
77,0.32,0.47609522856952335
78,0.28,0.458257569495584
79,0.36,0.4898979485566356
80,0.36,0.48989794855663565
81,0.36,0.4898979485566356
82,0.48,0.5099019513592785
83,0.36,0.4898979485566356
84,0.28,0.458257569495584
85,0.32,0.47609522856952324
86,0.28,0.458257569495584
87,0.36,0.4898979485566356
88,0.36,0.48989794855663565
89,0.28,0.458257569495584
90,0.44,0.506622805119022
91,0.4,0.5
92,0.4,0.5
93,0.44,0.5066228051190221
94,0.44,0.5066228051190221
95,0.44,0.5066228051190221
96,0.4,0.5
97,0.4,0.5
98,0.4,0.5
99,0.48,0.5099019513592784
100,0.32,0.4760952285695233
101,0.48,0.5099019513592784
102,0.4,0.5
103,0.52,0.5099019513592784
104,0.44,0.5066228051190221
105,0.4,0.5
106,0.28,0.458257569495584
107,0.56,0.5066228051190221
108,0.52,0.5099019513592785
109,0.48,0.5099019513592785
110,0.4,0.5
111,0.4,0.49999999999999994
112,0.56,0.5066228051190221
113,0.64,0.4898979485566356
114,0.48,0.5099019513592785
115,0.6,0.4999999999999999
116,0.56,0.5066228051190221
117,0.56,0.5066228051190221
118,0.72,0.45825756949558394
119,0.56,0.5066228051190221
120,0.52,0.5099019513592785
121,0.72,0.45825756949558394
122,0.72,0.458257569495584
123,0.6,0.5
124,0.56,0.5066228051190221
125,0.6,0.49999999999999994
126,0.6,0.49999999999999994
127,0.64,0.48989794855663565
128,0.68,0.4760952285695233
129,0.52,0.5099019513592784
130,0.72,0.45825756949558394
131,0.44,0.5066228051190221
132,0.76,0.4358898943540673
133,0.6,0.5
134,0.64,0.4898979485566356
135,0.64,0.48989794855663554
136,0.6,0.5
137,0.56,0.5066228051190221
138,0.64,0.48989794855663565
139,0.48,0.5099019513592784
140,0.64,0.4898979485566356
141,0.6,0.5
142,0.56,0.5066228051190221
143,0.64,0.4898979485566356
144,0.6,0.49999999999999994
145,0.68,0.47609522856952335
146,0.52,0.5099019513592785
147,0.64,0.4898979485566356
148,0.64,0.4898979485566356
149,0.64,0.4898979485566356
150,0.6,0.5
151,0.48,0.5099019513592785
152,0.48,0.5099019513592785
153,0.64,0.4898979485566356
154,0.6,0.5
155,0.6,0.5
156,0.68,0.4760952285695233
157,0.72,0.45825756949558394
158,0.64,0.48989794855663565
159,0.76,0.43588989435406733
160,0.8,0.40824829046386296
161,0.8,0.408248290463863
162,0.64,0.4898979485566356
163,0.76,0.4358898943540673
164,0.68,0.47609522856952324
165,0.64,0.48989794855663554
166,0.72,0.458257569495584
167,0.64,0.4898979485566356
168,0.72,0.45825756949558394
169,0.64,0.4898979485566356
170,0.6,0.5
171,0.72,0.4582575694955841
172,0.76,0.43588989435406733
173,0.64,0.48989794855663565
174,0.64,0.4898979485566356
175,0.72,0.458257569495584
176,0.72,0.45825756949558394
177,0.64,0.4898979485566356
178,0.68,0.47609522856952335
179,0.68,0.47609522856952335
180,0.76,0.4358898943540673
181,0.64,0.4898979485566356
182,0.56,0.5066228051190221
183,0.64,0.4898979485566356
184,0.6,0.49999999999999994
185,0.6,0.5
186,0.68,0.4760952285695233
187,0.72,0.458257569495584
188,0.68,0.4760952285695233
189,0.68,0.4760952285695233
190,0.6,0.5
191,0.6,0.49999999999999994
192,0.68,0.47609522856952335
193,0.64,0.48989794855663565
194,0.56,0.5066228051190221
195,0.64,0.4898979485566356
196,0.8,0.40824829046386296
197,0.8,0.4082482904638631
198,0.68,0.47609522856952324
199,0.8,0.40824829046386296
200,0.68,0.4760952285695233
201,0.68,0.47609522856952324
202,0.72,0.458257569495584
203,0.8,0.40824829046386296
204,0.72,0.45825756949558394
205,0.68,0.4760952285695233
206,0.68,0.47609522856952335
207,0.64,0.4898979485566356
208,0.64,0.48989794855663565
209,0.64,0.4898979485566356
210,0.48,0.5099019513592784
211,0.6,0.5
212,0.64,0.4898979485566356
213,0.6,0.5
214,0.52,0.5099019513592785
215,0.68,0.47609522856952335
216,0.6,0.5
217,0.72,0.45825756949558405
218,0.68,0.47609522856952335
219,0.56,0.5066228051190221
220,0.64,0.4898979485566356
221,0.56,0.5066228051190221
222,0.6,0.5
223,0.68,0.4760952285695233
224,0.56,0.5066228051190221
225,0.48,0.5099019513592784
226,0.56,0.5066228051190221
227,0.64,0.4898979485566356
228,0.44,0.5066228051190221
229,0.56,0.5066228051190221
230,0.48,0.5099019513592784
231,0.6,0.5
232,0.56,0.5066228051190221
233,0.6,0.5
234,0.68,0.47609522856952335
235,0.56,0.5066228051190221
236,0.6,0.5
237,0.68,0.4760952285695233
238,0.76,0.43588989435406733
239,0.68,0.4760952285695233
240,0.72,0.45825756949558405
241,0.64,0.4898979485566356
242,0.72,0.45825756949558405
243,0.76,0.43588989435406733
244,0.72,0.458257569495584
245,0.72,0.45825756949558405
246,0.72,0.45825756949558394
247,0.6,0.49999999999999994
248,0.84,0.3741657386773941
249,0.6,0.5
250,0.68,0.4760952285695233
251,0.76,0.43588989435406733
252,0.72,0.45825756949558394
253,0.8,0.40824829046386296
254,0.8,0.408248290463863
255,0.72,0.458257569495584
256,0.88,0.33166247903554
257,0.76,0.4358898943540673
258,0.68,0.47609522856952324
259,0.76,0.43588989435406733
260,0.84,0.3741657386773941
261,0.8,0.40824829046386296
262,0.76,0.4358898943540674
263,0.72,0.458257569495584
264,0.76,0.4358898943540673
265,0.68,0.47609522856952335
266,0.6,0.5
267,0.68,0.47609522856952335
268,0.56,0.5066228051190221
269,0.64,0.48989794855663565
270,0.76,0.43588989435406733
271,0.64,0.48989794855663565
272,0.8,0.408248290463863
273,0.72,0.45825756949558405
274,0.76,0.43588989435406733
275,0.76,0.43588989435406733
276,0.68,0.47609522856952324
277,0.8,0.40824829046386296
278,0.68,0.47609522856952335
279,0.56,0.5066228051190221
280,0.8,0.408248290463863
281,0.68,0.4760952285695233
282,0.64,0.4898979485566356
283,0.8,0.40824829046386296
284,0.72,0.45825756949558394
285,0.8,0.4082482904638631
286,0.6,0.5
287,0.72,0.45825756949558394
288,0.72,0.458257569495584
289,0.8,0.408248290463863
290,0.72,0.45825756949558394
291,0.72,0.45825756949558394
292,0.8,0.40824829046386296
293,0.88,0.33166247903554
294,0.72,0.45825756949558405
295,0.8,0.408248290463863
296,0.84,0.3741657386773941
297,0.72,0.45825756949558394
298,0.76,0.43588989435406733
299,0.8,0.4082482904638631
300,0.72,0.45825756949558405
301,0.76,0.43588989435406733
302,0.72,0.458257569495584
303,0.8,0.408248290463863
304,0.76,0.43588989435406733
305,0.8,0.408248290463863
